State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.8519690909386315	0.06430720654183107	0.009432591741548141	0.0035574815318063667	0.0	0.0	6.560143180538073E-5	0.0014916255025018872	8.255978080795018E-5	7.817829545021316E-5	7.810520332293678E-4	0.0543794716979501	0.0	3.087071213464299E-6	0.013852053433224322
2	0.19648117209930663	0.5709952912544141	0.19285460966698942	0.015603557360190205	0.0	0.0	5.770286859311251E-4	6.278463920240299E-4	0.0	0.0	0.0	0.007104334606572725	2.9982845190186324E-4	0.0016684563008373206	0.013787875181832634
3	0.029557558639817027	0.19443061210030377	0.6676632754521756	0.10136858347473858	0.0	9.61106947106974E-4	6.445006965421353E-5	0.0	0.0	0.0	0.0	0.0025231343968517054	5.011725837551072E-4	1.1223609006114421E-5	0.002918882726590961
4	0.0038813108805768656	0.0050768947112710145	0.03386465591225317	0.6453234231588433	0.13125622371204554	0.008025288317389388	0.001069723712725084	0.02081675200740562	5.035351704112294E-4	2.2053613989547134E-4	7.06154619790667E-4	0.04852225393726163	0.013967502807224797	0.027356776598352485	0.059408968314553716
5	0.0	0.0	0.0	0.16770186256311057	0.7403643627975252	0.06235168535833952	0.0	0.0	0.0	1.365138270972742E-4	4.673481032201966E-5	0.0	6.520188784202736E-4	0.017037971094248427	0.011708850670936919
6	0.0	6.209234013534262E-5	7.255638086482995E-4	0.015912021202553923	0.08825482484321812	0.7106797739308242	0.16376624813041712	0.004092530077067888	0.005790753238401897	6.307754685567255E-5	0.0	0.0	0.0	0.004786285110632968	0.005866829771244751
7	2.7807533390765323E-6	2.877631272124525E-5	1.489226959165469E-5	2.595896392920182E-4	0.0	0.014471853313412017	0.955813739838603	0.024642837675492385	0.00226385488354377	6.328470439182257E-5	1.0970743821634E-4	0.0	0.0	0.0	0.0023286831713969164
8	7.562200105798064E-5	8.943639342394324E-6	0.0	0.0010525926686198043	0.0	1.0105055098681923E-4	0.007619164567058397	0.968499984751904	0.010711381622660063	5.165031532366948E-5	5.583025007647E-4	1.3585016900926167E-5	0.0	2.611330157432786E-5	0.011281609063807053
9	8.767742924452556E-6	0.0	0.0	3.062095144625224E-5	0.0	8.120382054672387E-4	0.003122671915135397	0.0496044217157542	0.9438286961160954	3.70464998053679E-4	3.5408476724399187E-4	5.20462758346298E-4	0.0	3.5145114756506636E-4	9.963196819679312E-4
10	6.379277335952519E-4	0.0	0.0	0.0012117588855076068	5.466155860998865E-4	2.298632651242254E-4	0.0035104342868516273	0.006798400475418492	0.012577223626739334	0.7219849646940952	0.24962944195026804	0.0	3.752073805676986E-4	4.5086167155873553E-4	0.0020473004441738385
11	1.233884316098768E-4	0.0	4.436799048319713E-6	6.741106220395773E-5	1.4397541850561139E-5	0.0	1.1929938591752836E-4	0.0015288024212677417	1.4293841090735334E-4	0.0046361701466419115	0.949837910490513	0.04204222195251423	2.776415407613416E-4	1.5089934387393637E-4	0.0010544824728900312
12	3.783937470359851E-4	1.3457636463676333E-5	5.677350253046943E-6	3.618999667300359E-4	0.0	0.0	0.0	4.602046766175268E-6	1.321062531322774E-5	0.0	0.001992482174645749	0.9745938901863691	0.02029788613972936	2.4303635764620583E-4	0.0020954637690473333
13	0.0	0.0	0.0	0.002423566004772282	1.6038637711467382E-4	0.0	0.0	0.0	0.0	1.813156847564781E-5	1.9580905989019572E-4	0.4646173313814372	0.5246648366721474	0.00786296942693266	5.696950923016317E-5
14	7.498381165383699E-5	7.181357050546706E-4	0.0	0.03302896037970175	0.016243681470889098	0.0020111524825047722	0.005756919043680368	2.3168460206588113E-4	0.0019332997364597349	2.8376335857793874E-4	0.0019087731525376458	0.051092558229759014	0.0666689825831582	0.5796707746885799	0.24037633075537723
15	0.0035945895206910086	0.0011080713958667471	0.0	0.014947174627202416	0.0021222259041937174	8.48701004269835E-4	0.0022734345698672245	0.05324046756655849	6.73938883861562E-4	3.559311136571877E-5	0.0015964991347099371	0.07127600469800638	9.785169075361118E-5	0.04746071431899373	0.8007247335736597
