15	10	E	-6992375.613694261	200
transitionprobs	11	4	6.741106220395773E-5
transitionprobs	11	5	1.4397541850561139E-5
transitionprobs	11	6	0.0
transitionprobs	11	7	1.1929938591752836E-4
transitionprobs	11	8	0.0015288024212677417
transitionprobs	11	9	1.4293841090735334E-4
transitionprobs	11	10	0.0046361701466419115
transitionprobs	11	11	0.949837910490513
transitionprobs	11	12	0.04204222195251423
transitionprobs	11	13	2.776415407613416E-4
transitionprobs	11	14	1.5089934387393637E-4
transitionprobs	11	15	0.0010544824728900312
transitionprobs	12	1	3.783937470359851E-4
transitionprobs	12	2	1.3457636463676333E-5
transitionprobs	12	3	5.677350253046943E-6
transitionprobs	12	4	3.618999667300359E-4
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	4.602046766175268E-6
transitionprobs	12	9	1.321062531322774E-5
transitionprobs	12	10	0.0
transitionprobs	12	11	0.001992482174645749
transitionprobs	12	12	0.9745938901863691
transitionprobs	12	13	0.02029788613972936
transitionprobs	12	14	2.4303635764620583E-4
transitionprobs	12	15	0.0020954637690473333
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.002423566004772282
transitionprobs	13	5	1.6038637711467382E-4
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	1.813156847564781E-5
transitionprobs	13	11	1.9580905989019572E-4
transitionprobs	13	12	0.4646173313814372
transitionprobs	13	13	0.5246648366721474
transitionprobs	13	14	0.00786296942693266
transitionprobs	13	15	5.696950923016317E-5
transitionprobs	14	1	7.498381165383699E-5
transitionprobs	14	2	7.181357050546706E-4
transitionprobs	14	3	0.0
transitionprobs	14	4	0.03302896037970175
transitionprobs	14	5	0.016243681470889098
transitionprobs	14	6	0.0020111524825047722
transitionprobs	14	7	0.005756919043680368
transitionprobs	14	8	2.3168460206588113E-4
transitionprobs	14	9	0.0019332997364597349
transitionprobs	14	10	2.8376335857793874E-4
transitionprobs	14	11	0.0019087731525376458
transitionprobs	14	12	0.051092558229759014
transitionprobs	14	13	0.0666689825831582
transitionprobs	14	14	0.5796707746885799
transitionprobs	14	15	0.24037633075537723
transitionprobs	15	1	0.0035945895206910086
transitionprobs	15	2	0.0011080713958667471
transitionprobs	15	3	0.0
transitionprobs	15	4	0.014947174627202416
transitionprobs	15	5	0.0021222259041937174
transitionprobs	15	6	8.48701004269835E-4
transitionprobs	15	7	0.0022734345698672245
transitionprobs	15	8	0.05324046756655849
transitionprobs	15	9	6.73938883861562E-4
transitionprobs	15	10	3.559311136571877E-5
transitionprobs	15	11	0.0015964991347099371
transitionprobs	15	12	0.07127600469800638
transitionprobs	15	13	9.785169075361118E-5
transitionprobs	15	14	0.04746071431899373
transitionprobs	15	15	0.8007247335736597
emissionprobs	1	0	H2az	0	0.9980468114838518
emissionprobs	1	0	H2az	1	0.001953188516148261
emissionprobs	1	1	H3k09me3	0	0.987352304122275
emissionprobs	1	1	H3k09me3	1	0.012647695877724997
emissionprobs	1	2	H3k27ac	0	0.9987966925118431
emissionprobs	1	2	H3k27ac	1	0.001203307488156862
emissionprobs	1	3	H3k27me3	0	0.349191828374972
emissionprobs	1	3	H3k27me3	1	0.6508081716250279
emissionprobs	1	4	H3k36me3	0	0.998788829524371
emissionprobs	1	4	H3k36me3	1	0.0012111704756289999
emissionprobs	1	5	H3k4me1	0	0.9703098274055779
emissionprobs	1	5	H3k4me1	1	0.029690172594422092
emissionprobs	1	6	H3k4me2	0	1.0
emissionprobs	1	6	H3k4me2	1	3.439830391278354E-27
emissionprobs	1	7	H3k4me3	0	0.9988812115185426
emissionprobs	1	7	H3k4me3	1	0.0011187884814574528
emissionprobs	1	8	H3k79me2	0	0.9979746274499199
emissionprobs	1	8	H3k79me2	1	0.0020253725500800073
emissionprobs	1	9	H3k9ac	0	0.9974713311445778
emissionprobs	1	9	H3k9ac	1	0.002528668855422237
emissionprobs	2	0	H2az	0	0.9606574536685478
emissionprobs	2	0	H2az	1	0.039342546331452274
emissionprobs	2	1	H3k09me3	0	0.9930710409871939
emissionprobs	2	1	H3k09me3	1	0.0069289590128061174
emissionprobs	2	2	H3k27ac	0	0.99794941488848
emissionprobs	2	2	H3k27ac	1	0.0020505851115199926
emissionprobs	2	3	H3k27me3	0	0.16609579984814968
emissionprobs	2	3	H3k27me3	1	0.8339042001518503
emissionprobs	2	4	H3k36me3	0	0.9991743495313189
emissionprobs	2	4	H3k36me3	1	8.256504686812109E-4
emissionprobs	2	5	H3k4me1	0	0.6679573254756616
emissionprobs	2	5	H3k4me1	1	0.33204267452433833
emissionprobs	2	6	H3k4me2	0	0.21613455533439505
emissionprobs	2	6	H3k4me2	1	0.783865444665605
emissionprobs	2	7	H3k4me3	0	0.8619516227679452
emissionprobs	2	7	H3k4me3	1	0.13804837723205474
emissionprobs	2	8	H3k79me2	0	0.9963688868525447
emissionprobs	2	8	H3k79me2	1	0.003631113147455236
emissionprobs	2	9	H3k9ac	0	0.9914316731824896
emissionprobs	2	9	H3k9ac	1	0.008568326817510404
emissionprobs	3	0	H2az	0	0.7626261170629393
emissionprobs	3	0	H2az	1	0.2373738829370608
emissionprobs	3	1	H3k09me3	0	0.996164934035063
emissionprobs	3	1	H3k09me3	1	0.0038350659649369315
emissionprobs	3	2	H3k27ac	0	0.9962739907203627
emissionprobs	3	2	H3k27ac	1	0.003726009279637263
emissionprobs	3	3	H3k27me3	0	0.12941959860693522
emissionprobs	3	3	H3k27me3	1	0.8705804013930647
emissionprobs	3	4	H3k36me3	0	0.999194658640371
emissionprobs	3	4	H3k36me3	1	8.053413596288618E-4
emissionprobs	3	5	H3k4me1	0	0.692215367187893
emissionprobs	3	5	H3k4me1	1	0.30778463281210694
emissionprobs	3	6	H3k4me2	0	1.0165232908334446E-4
emissionprobs	3	6	H3k4me2	1	0.9998983476709167
emissionprobs	3	7	H3k4me3	0	0.01892753771423015
emissionprobs	3	7	H3k4me3	1	0.9810724622857699
emissionprobs	3	8	H3k79me2	0	0.9922996619504192
emissionprobs	3	8	H3k79me2	1	0.007700338049580851
emissionprobs	3	9	H3k9ac	0	0.878231494312727
emissionprobs	3	9	H3k9ac	1	0.12176850568727307
emissionprobs	4	0	H2az	0	0.7866122636145639
emissionprobs	4	0	H2az	1	0.21338773638543598
emissionprobs	4	1	H3k09me3	0	0.9979397410118059
emissionprobs	4	1	H3k09me3	1	0.0020602589881940562
emissionprobs	4	2	H3k27ac	0	0.9809744004479115
emissionprobs	4	2	H3k27ac	1	0.01902559955208858
emissionprobs	4	3	H3k27me3	0	0.981847981023629
emissionprobs	4	3	H3k27me3	1	0.018152018976370886
emissionprobs	4	4	H3k36me3	0	0.9997518798965525
emissionprobs	4	4	H3k36me3	1	2.481201034476489E-4
emissionprobs	4	5	H3k4me1	0	0.8835035739289858
emissionprobs	4	5	H3k4me1	1	0.11649642607101429
emissionprobs	4	6	H3k4me2	0	0.14776643945048118
emissionprobs	4	6	H3k4me2	1	0.8522335605495189
emissionprobs	4	7	H3k4me3	0	0.28951654554863654
emissionprobs	4	7	H3k4me3	1	0.7104834544513634
emissionprobs	4	8	H3k79me2	0	0.9937431178835184
emissionprobs	4	8	H3k79me2	1	0.006256882116481583
emissionprobs	4	9	H3k9ac	0	0.825166783833546
emissionprobs	4	9	H3k9ac	1	0.17483321616645403
emissionprobs	5	0	H2az	0	0.7164121048967326
emissionprobs	5	0	H2az	1	0.28358789510326743
emissionprobs	5	1	H3k09me3	0	0.9974644416947305
